DATE,GDP
1970/6/1,1067.375
1970/9/1,1086.059
1970/12/1,1088.608
1971/3/1,1135.156
1971/6/1,1156.271
1971/9/1,1177.675
1971/12/1,1190.297
1972/3/1,1230.609
1972/6/1,1266.369
1972/9/1,1290.566
1972/12/1,1328.904
1973/3/1,1377.49
1973/6/1,1413.887
1973/9/1,1433.838
1973/12/1,1476.289
1974/3/1,1491.209
1974/6/1,1530.056
1974/9/1,1560.026
1974/12/1,1599.679
1975/3/1,1616.116
1975/6/1,1651.853
1975/9/1,1709.82
1975/12/1,1761.831
1976/3/1,1820.487
1976/6/1,1852.332
1976/9/1,1886.558
1976/12/1,1934.273
1977/3/1,1988.648
1977/6/1,2055.909
1977/9/1,2118.473
1977/12/1,2164.27
1978/3/1,2202.76
1978/6/1,2331.633
1978/9/1,2395.053
1978/12/1,2476.949
1979/3/1,2526.61
1979/6/1,2591.247
1979/9/1,2667.565
1979/12/1,2723.883
1980/3/1,2789.842
1980/6/1,2797.352
1980/9/1,2856.483
1980/12/1,2985.557
1981/3/1,3124.206
1981/6/1,3162.532
1981/9/1,3260.609
1981/12/1,3280.818
1982/3/1,3274.302
1982/6/1,3331.972
1982/9/1,3366.322
1982/12/1,3402.561
1983/3/1,3473.413
1983/6/1,3578.848
1983/9/1,3689.179
1983/12/1,3794.706
1984/3/1,3908.054
1984/6/1,4009.601
1984/9/1,4084.25
1984/12/1,4148.551
1985/3/1,4230.168
1985/6/1,4294.887
1985/9/1,4386.773
1985/12/1,4444.094
1986/3/1,4507.894
1986/6/1,4545.34
1986/9/1,4607.669
1986/12/1,4657.627
1987/3/1,4722.156
1987/6/1,4806.16
1987/9/1,4884.555
1987/12/1,5007.994
1988/3/1,5073.372
1988/6/1,5190.036
1988/9/1,5282.835
1988/12/1,5399.509
1989/3/1,5511.253
1989/6/1,5612.463
1989/9/1,5695.365
1989/12/1,5747.237
1990/3/1,5872.701
1990/6/1,5960.028
1990/9/1,6015.116
1990/12/1,6004.733
1991/3/1,6035.178
1991/6/1,6126.862
1991/9/1,6205.937
1991/12/1,6264.54
1992/3/1,6363.102
1992/6/1,6470.763
1992/9/1,6566.641
1992/12/1,6680.803
1993/3/1,6729.459
1993/6/1,6808.939
1993/9/1,6882.098
1993/12/1,7013.738
1994/3/1,7115.652
1994/6/1,7246.931
1994/9/1,7331.075
1994/12/1,7455.288
1995/3/1,7522.289
1995/6/1,7580.997
1995/9/1,7683.125
1995/12/1,7772.586
1996/3/1,7868.468
1996/6/1,8032.84
1996/9/1,8131.408
1996/12/1,8259.771
1997/3/1,8362.655
1997/6/1,8518.825
1997/9/1,8662.823
1997/12/1,8765.907
1998/3/1,8866.48
1998/6/1,8969.699
1998/9/1,9121.097
1998/12/1,9293.991
1999/3/1,9411.682
1999/6/1,9526.21
1999/9/1,9686.626
1999/12/1,9900.169
2000/3/1,10002.179
2000/6/1,10247.72
2000/9/1,10318.165
2000/12/1,10435.744
2001/3/1,10470.231
2001/6/1,10599
2001/9/1,10598.02
2001/12/1,10660.465
2002/3/1,10783.5
2002/6/1,10887.46
2002/9/1,10984.04
2002/12/1,11061.433
2003/3/1,11174.129
2003/6/1,11312.766
2003/9/1,11566.669
2003/12/1,11772.234
2004/3/1,11923.447
2004/6/1,12112.815
2004/9/1,12305.307
2004/12/1,12527.214
2005/3/1,12767.286
2005/6/1,12922.656
2005/9/1,13142.642
2005/12/1,13324.204
2006/3/1,13599.16
2006/6/1,13753.424
2006/9/1,13870.188
2006/12/1,14039.56
2007/3/1,14215.651
2007/6/1,14402.082
2007/9/1,14564.117
2007/12/1,14715.058
2008/3/1,14706.538
2008/6/1,14865.701
2008/9/1,14898.999
2008/12/1,14608.209
2009/3/1,14430.902
2009/6/1,14381.236
2009/9/1,14448.882
2009/12/1,14651.249
2010/3/1,14764.61
2010/6/1,14980.193
2010/9/1,15141.607
2010/12/1,15309.474
2011/3/1,15351.448
2011/6/1,15557.539
2011/9/1,15647.68
2011/12/1,15842.259
2012/3/1,16068.805
2012/6/1,16207.115
2012/9/1,16319.541
2012/12/1,16420.419
2013/3/1,16648.189
2013/6/1,16728.687
2013/9/1,16953.838
2013/12/1,17192.019
2014/3/1,17197.738
2014/6/1,17518.508
2014/9/1,17804.228
2014/12/1,17912.079
2015/3/1,18063.529
2015/6/1,18279.784
2015/9/1,18401.626
2015/12/1,18435.137
2016/3/1,18525.933
2016/6/1,18711.702
2016/9/1,18892.639
2016/12/1,19089.379
2017/3/1,19280.084
2017/6/1,19438.643
2017/9/1,19692.595
2017/12/1,20037.088
2018/3/1,20328.553
2018/6/1,20580.912
2018/9/1,20798.73
2018/12/1,20917.867
2019/3/1,21104.133
2019/6/1,21384.775
2019/9/1,21694.282
2019/12/1,21902.39
2020/3/1,21706.513
2020/6/1,19913.143
2020/9/1,21647.64
2020/12/1,22024.502
2021/3/1,22600.185
2021/6/1,23292.362
2021/9/1,23828.973
2021/12/1,24654.603
2022/3/1,25029.116
2022/6/1,25544.273
2022/9/1,25994.639
2022/12/1,26408.405
2023/3/1,26813.601
2023/6/1,27063.012
2023/9/1,27610.128
2023/12/1,27938.831
